iter	Passed	Remaining
703	13125	5518
704	13143	5499
705	13161	5480
706	13179	5461
707	13196	5442
708	13216	5424
709	13235	5406
710	13257	5388
711	13275	5370
712	13292	5350
713	13309	5331
714	13326	5311
715	13341	5292
716	13359	5272
717	13379	5254
718	13406	5239
719	13435	5224
720	13458	5208
721	13485	5192
722	13504	5173
723	13522	5154
724	13541	5136
725	13558	5117
726	13574	5097
727	13590	5077
728	13610	5059
729	13630	5041
730	13652	5024
731	13672	5005
732	13693	4987
733	13709	4968
734	13726	4949
735	13742	4929
736	13760	4910
737	13775	4890
738	13791	4871
739	13809	4851
740	13827	4833
741	13845	4814
742	13864	4795
743	13883	4777
744	13903	4758
745	13923	4740
746	13943	4722
747	13961	4703
748	13978	4684
749	13994	4664
750	14011	4645
751	14031	4627
752	14050	4608
753	14069	4590
754	14088	4571
755	14109	4553
756	14129	4535
757	14148	4517
758	14169	4499
759	14187	4480
760	14204	4461
761	14221	4441
762	14236	4422
763	14252	4402
764	14270	4383
765	14288	4364
766	14306	4345
767	14323	4326
768	14340	4307
769	14360	4289
770	14383	4272
771	14405	4254
772	14426	4236
773	14446	4218
774	14497	4208
775	14518	4190
776	14547	4175
777	14570	4157
778	14587	4138
779	14608	4120
780	14627	4101
781	14647	4083
782	14669	4065
783	14688	4046
784	14705	4027
785	14721	4008
786	14738	3988
787	14754	3969
788	14770	3949
789	14787	3930
790	14805	3911
791	14823	3893
792	14841	3874
793	14861	3855
794	14881	3837
795	14902	3819
796	14922	3800
797	14939	3781
798	14955	3762
799	14971	3742
800	14988	3723
801	15005	3704
802	15021	3685
803	15039	3666
804	15058	3647
805	15075	3628
806	15095	3610
807	15116	3592
808	15137	3573
809	15157	3555
810	15176	3536
811	15193	3517
812	15210	3498
813	15226	3479
814	15244	3460
815	15260	3441
816	15278	3422
817	15296	3403
818	15316	3384
819	15336	3366
820	15356	3348
821	15375	3329
822	15395	3311
823	15413	3292
824	15431	3273
825	15447	3254
826	15463	3234
827	15480	3215
828	15497	3196
829	15515	3177
830	15532	3158
831	15550	3140
832	15568	3121
833	15587	3102
834	15610	3084
835	15627	3065
836	15645	3046
837	15660	3027
838	15678	3008
839	15695	2989
840	15711	2970
841	15730	2951
842	15748	2932
843	15765	2914
844	15786	2895
845	15806	2877
846	15828	2859
847	15847	2840
848	15864	2821
849	15880	2802
850	15897	2783
851	15913	2764
852	15931	2745
853	15947	2726
854	15965	2707
855	15983	2688
856	16001	2670
857	16020	2651
858	16046	2633
859	16066	2615
860	16085	2596
861	16103	2578
862	16119	2559
863	16136	2539
864	16152	2520
865	16168	2501
866	16184	2482
867	16201	2463
868	16221	2445
869	16239	2426
870	16258	2407
871	16277	2389
872	16297	2370
873	16317	2352
874	16338	2334
875	16356	2315
876	16373	2296
877	16389	2277
878	16405	2258
879	16420	2239
880	16437	2220
881	16455	2201
882	16475	2183
883	16492	2164
884	16510	2145
885	16529	2126
886	16546	2107
887	16563	2089
888	16582	2070
889	16601	2051
890	16620	2033
891	16640	2014
892	16659	1996
893	16675	1977
894	16692	1958
895	16709	1939
896	16725	1920
897	16741	1901
898	16759	1882
899	16776	1864
900	16794	1845
901	16812	1826
902	16832	1808
903	16853	1789
904	16872	1771
905	16893	1752
906	16909	1733
907	16926	1714
908	16941	1696
909	16958	1677
910	16975	1658
911	16991	1639
912	17009	1620
913	17027	1602
914	17047	1583
915	17071	1565
916	17093	1547
917	17112	1528
918	17129	1509
919	17145	1490
920	17162	1472
921	17178	1453
922	17194	1434
923	17213	1415
924	17231	1397
925	17251	1378
926	17272	1360
927	17293	1341
928	17313	1323
929	17330	1304
930	17346	1285
931	17363	1266
932	17379	1248
933	17395	1229
934	17412	1210
935	17430	1191
936	17449	1173
937	17470	1154
938	17490	1136
939	17511	1117
940	17531	1099
941	17550	1080
942	17567	1061
943	17584	1043
944	17600	1024
945	17617	1005
946	17633	986
947	17650	968
948	17670	949
949	17689	931
950	17710	912
951	17731	894
952	17750	875
953	17770	856
954	17787	838
955	17804	819
956	17820	800
957	17836	781
958	17852	763
959	17869	744
960	17889	726
961	17908	707
962	17928	688
963	17949	670
964	17971	651
965	17988	633
966	18004	614
967	18021	595
968	18037	577
969	18052	558
970	18068	539
971	18086	521
972	18104	502
973	18122	483
974	18142	465
975	18162	446
976	18183	428
977	18203	409
978	18222	390
979	18239	372
980	18256	353
981	18273	334
982	18290	316
983	18306	297
984	18323	279
985	18342	260
986	18362	241
987	18382	223
988	18403	204
989	18423	186
990	18441	167
991	18459	148
992	18476	130
993	18493	111
994	18509	93
995	18526	74
996	18544	55
997	18562	37
998	18580	18
999	18598	0
